Country,Cases,Fatalities,EI,SPI,Flight Count,Density,GDP,Healthcare Spending,Cluster
Afghanistan,-0.4039900159733543,-0.31176557863183957,-2.04663124828037,-2.5104237617282985,-0.4618848838459348,-0.44737882296952686,-1.0599964311988312,-0.8296736804548509,3
Albania,-0.4266772003119215,-0.3177915555220342,0.23387734971858312,-0.02491654746714909,-0.4511848227636888,-0.2576084246835572,-0.5714037090215768,-0.6512730795610661,1
Algeria,-0.3614310166040049,-0.2338434636724263,-0.3147667477710198,-0.36491161984560716,-0.36501198899298676,-0.646637741169795,-0.46670845078171647,-0.6691947310856221,1
Angola,-0.44331134063875105,-0.3231941554925535,-1.484766811092222,-2.210383764374359,-0.4662865230266771,-0.6086836615126011,-0.8514078358460542,-0.667120536963005,3
Argentina,-0.35002877090747575,-0.28267465571365863,0.7891316170574584,0.37388033343796157,-0.15901633541437266,-0.6561262610840936,-0.2200731530728371,-0.18747564668383776,1
Armenia,-0.40152656782904245,-0.31758376321547577,0.24048751956785547,-0.05733292909081533,-0.45290259426864676,-0.2576084246835572,-0.7173088029515948,-0.6747919930021651,1
Australia,-0.3734667203947856,-0.31654480168268356,1.3245553748485175,1.2151985169731276,0.7084101906308675,-0.7178016405270337,1.0518183054334487,1.8108436352330097,2
Austria,-0.08559520867377271,-0.2095317638050894,0.980826542686356,1.093071683879314,-0.19193471893095726,-0.22439860498351252,1.2523431383430703,1.3318508444754498,2
Bangladesh,-0.30521747609189837,-0.2920253095087882,-1.385614263353137,-1.3411724152560378,-0.3458711257897277,4.562559691780073,-0.975304649958842,-0.7824589250026557,4
Barbados,-0.442067885861146,-0.32236298626631976,0.33302989745766814,0.4515288754667449,-0.46502895389885096,2.437131230977212,-0.3212043174151702,-0.051843995153283404,4
Belarus,-0.17908893110313184,-0.3080253171137877,0.7560807678110967,0.1507350087727208,-0.4606108491216996,-0.5137984623696162,-0.30619057187183707,-0.5897875066975358,1
Belgium,0.6513980918716371,1.173949413260973,1.1262502793703475,1.1209648494624682,-0.13122914460168902,1.0707843633182303,1.0513282425225385,1.151485761136806,2
Brazil,1.1384335207075382,0.6328582469828073,-0.22222436988120786,0.07308646674393744,0.6566402819844355,-0.6134279214697503,-0.4551251456147532,-0.4042009069154211,1
Bulgaria,-0.41196689567874506,-0.31155778632528114,0.5445553326343828,0.3218633489720778,-0.36091803070728906,-0.43314604309807914,-0.21477156340026543,-0.4784225690502745,1
Cambodia,-0.44108250660342124,-0.32360974010567034,-1.6301905477762133,-1.6238734177880156,-0.35479749123256527,-0.29556250434075115,-0.9690229344644504,-0.7920668689985724,3
Cameroon,-0.4039430931515579,-0.31155778632528114,-1.0484956010402489,-1.7987711046877994,-0.46859508062156985,-0.46635586279812385,-0.9822100818853009,-0.7890658056988203,3
Canada,0.14219162973692936,0.008857950387826103,1.1130299396718026,1.2747541948398649,0.7091382350121794,-0.7130573805698844,0.9240455392071,1.2148645191843632,2
Chile,-0.11987232999605468,-0.2824668634071002,0.5577756723329275,0.6121030449049081,-0.21562438104918386,-0.6134279214697503,-0.04552165444144449,-0.14758759470377128,1
China,1.1544342029401162,0.6139491470859897,-0.4866311638521005,-0.5548866935470961,7.708595271232864,-0.02988394674039362,-0.39769868269084685,-0.4618799676526652,0
